NAME,ADDRESS,CITY,STATE,ZIP,TYPE,DEGREES OFFERED,CAMPUS SETTING,CAMPUS HOUSING,STUDENT POPULATION,UNDERGRADUATE STUDENTS,PUBLIC/PRIVATE,PUBLISHED IN-STATE TUITION AND FEES ($),PUBLISHED OUT-OF-STATE TUITION AND FEES ($),TELEPHONE,POPULATION,LATITUDE,LONGITUDE,WEBSITE,RANK,UNDERGRADUATE POPULATION,NET PRICE,AVERAGE GRANT AID,TOTAL ANNUAL COST,ALUMNI SALARY,ACCEPTANCE RATE
UNIVERSITY OF CHICAGO,5801 S ELLIS AVE,CHICAGO,IL,60637,FOUR OR MORE YEARS,"BACHELOR'S DEGREE , POSTBACCALAUREATE CERTIFICATE , MASTER'S DEGREE , POST-MASTER'S CERTIFICATE , DOCTOR'S DEGREE - RESEARCH/SCHOLARSHIP , DOCTOR'S DEGREE = PROFESSIONAL PRACTICE",CITY,YES,17002.0,6632.0,PRIVATE NON-PROFIT,58230.0,58230.0,(773) 702-1234,28736,41.7901591400001,-87.6009372089999,WWW.UCHICAGO.EDU,16.0,6915.0,25455.0,37883.0,75735.0,114200.0,9.0
NORTHWESTERN UNIVERSITY,633 CLARK ST,EVANSTON,IL,60208,FOUR OR MORE YEARS,"ONE BUT LESS THAN TWO YEARS CERTIFICATE , BACHELOR'S DEGREE , POSTBACCALAUREATE CERTIFICATE , MASTER'S DEGREE , POST-MASTER'S CERTIFICATE , DOCTOR'S DEGREE - RESEARCH/SCHOLARSHIP , DOCTOR'S DEGREE = PROFESSIONAL PRACTICE",CITY,YES,22127.0,8642.0,PRIVATE NON-PROFIT,54568.0,54568.0,(847) 491-3741,32708,42.058375508000005,-87.67364827700001,www.northwestern.edu,17.0,10163.0,24047.0,44247.0,72980.0,115400.0,9.0
UNIVERSITY OF NOTRE DAME,400 MAIN BUILDING,NOTRE DAME,IN,46556,FOUR OR MORE YEARS,"BACHELOR'S DEGREE , MASTER'S DEGREE , DOCTOR'S DEGREE - RESEARCH/SCHOLARSHIP , DOCTOR'S DEGREE = PROFESSIONAL PRACTICE",SUBURB,YES,12607.0,8617.0,PRIVATE NON-PROFIT,53391.0,53391.0,(574) 631-5000,19137,41.69959013,-86.237070616,www.nd.edu,18.0,8664.0,28768.0,39590.0,69395.0,130500.0,19.0
WILLIAMS COLLEGE,880 MAIN ST,WILLIAMSTOWN,MA,01267,FOUR OR MORE YEARS,"BACHELOR'S DEGREE , MASTER'S DEGREE",TOWN,YES,2149.0,2095.0,PRIVATE NON-PROFIT,55450.0,55450.0,(413) 597-3131,3449,42.7128037150001,-73.203028769,https://www.williams.edu,19.0,2134.0,22667.0,48050.0,70650.0,127500.0,15.0
RICE UNIVERSITY,6100 S MAIN ST,HOUSTON,TX,77005-1827,FOUR OR MORE YEARS,"BACHELOR'S DEGREE , MASTER'S DEGREE , DOCTOR'S DEGREE - RESEARCH/SCHOLARSHIP",CITY,YES,7124.0,3992.0,PRIVATE NON-PROFIT,47350.0,47350.0,(713) 348-0000,10498,29.716186917000105,-95.405017578,www.rice.edu,21.0,4036.0,20237.0,36387.0,63158.0,129500.0,16.0
JOHNS HOPKINS UNIVERSITY,3400 N CHARLES ST,BALTIMORE,MD,21218-2688,FOUR OR MORE YEARS,"TOW BUT LESS THAN 4 YEARS CERTIFICATE , BACHELOR'S DEGREE , POSTBACCALAUREATE CERTIFICATE , MASTER'S DEGREE , POST-MASTER'S CERTIFICATE , DOCTOR'S DEGREE - RESEARCH/SCHOLARSHIP , DOCTOR'S DEGREE = PROFESSIONAL PRACTICE",CITY,YES,26152.0,6064.0,PRIVATE NON-PROFIT,53740.0,53740.0,(410) 516-8000,45909,39.329829382000106,-76.6207345139999,www.jhu.edu,22.0,7825.0,33586.0,38542.0,69863.0,117100.0,13.0
HARVEY MUDD COLLEGE,301 PLATT BLVD.,CLAREMONT,CA,91711,FOUR OR MORE YEARS,BACHELOR'S DEGREE,SUBURB,YES,902.0,902.0,PRIVATE NON-PROFIT,56620.0,56620.0,(909) 621-8000,1275,34.1057407690001,-117.709738155,https://www.hmc.edu,23.0,847.0,34464.0,33782.0,74428.0,158200.0,15.0
UNITED STATES NAVAL ACADEMY,121 BLAKE ROAD,ANNAPOLIS,MD,21402-5000,FOUR OR MORE YEARS,BACHELOR'S DEGREE,SUBURB,YES,4512.0,4512.0,PUBLIC,NAN,NAN,(410) 293-1482,5388,38.980550029,-76.48167159399999,www.usna.edu,24.0,4495.0,0.0,NAN,0.0,152800.0,8.0
SWARTHMORE COLLEGE,500 COLLEGE AVE,SWARTHMORE,PA,19081,FOUR OR MORE YEARS,BACHELOR'S DEGREE,SUBURB,YES,1559.0,1559.0,PRIVATE NON-PROFIT,52588.0,52588.0,(610) 328-8000,2623,39.905954265,-75.35159636,www.swarthmore.edu,25.0,1577.0,20511.0,46105.0,68846.0,123200.0,11.0
BOWDOIN COLLEGE,255 MAINE STREET,BRUNSWICK,ME,04011,FOUR OR MORE YEARS,BACHELOR'S DEGREE,TOWN,YES,1828.0,1828.0,PRIVATE NON-PROFIT,53922.0,53922.0,(207) 725-3000,2876,43.907145746000005,-69.963932513,www.bowdoin.edu/,26.0,1816.0,22810.0,41143.0,68070.0,112000.0,14.0
VANDERBILT UNIVERSITY,2101 WEST END AVENUE,NASHVILLE,TN,37240,FOUR OR MORE YEARS,"BACHELOR'S DEGREE , MASTER'S DEGREE , POST-MASTER'S CERTIFICATE , DOCTOR'S DEGREE - RESEARCH/SCHOLARSHIP , DOCTOR'S DEGREE = PROFESSIONAL PRACTICE",CITY,YES,12824.0,6861.0,PRIVATE NON-PROFIT,49816.0,49816.0,(615) 322-7311,18923,36.144475374,-86.804901156,www.vanderbilt.edu,27.0,7006.0,19959.0,41359.0,67392.0,119100.0,11.0
AMHERST COLLEGE,BOLTWOOD AVENUE,AMHERST,MA,01002-5000,FOUR OR MORE YEARS,BACHELOR'S DEGREE,SUBURB,YES,1855.0,1855.0,PRIVATE NON-PROFIT,56426.0,56426.0,(413) 542-2000,2868,42.3724341010001,-72.51845881299991,www.amherst.edu,28.0,1836.0,22463.0,49467.0,71300.0,116500.0,13.0
CLAREMONT MCKENNA COLLEGE,500 E 9TH ST,CLAREMONT,CA,91711-6400,FOUR OR MORE YEARS,"BACHELOR'S DEGREE , MASTER'S DEGREE",SUBURB,YES,1327.0,1324.0,PRIVATE NON-PROFIT,54405.0,54405.0,(909) 621-8000,1860,34.101966174,-117.706426355,www.cmc.edu,29.0,1345.0,26933.0,40673.0,71745.0,125400.0,10.0
UNIVERSITY OF SOUTHERN CALIFORNIA,UNIVERSITY PARK,LOS ANGELES,CA,90089,FOUR OR MORE YEARS,"BACHELOR'S DEGREE , POSTBACCALAUREATE CERTIFICATE , MASTER'S DEGREE , POST-MASTER'S CERTIFICATE , DOCTOR'S DEGREE - RESEARCH/SCHOLARSHIP , DOCTOR'S DEGREE = PROFESSIONAL PRACTICE , DOCTOR'S DEGREE - OTHER",CITY,YES,47310.0,19907.0,PRIVATE NON-PROFIT,56225.0,56225.0,(213) 740-2311,63898,34.0210666500001,-118.283867365,www.usc.edu/,30.0,20582.0,30232.0,36686.0,72209.0,120600.0,16.0
TUFTS UNIVERSITY, ,MEDFORD,MA,02155-5555,FOUR OR MORE YEARS,"TOW BUT LESS THAN 4 YEARS CERTIFICATE , BACHELOR'S DEGREE , POSTBACCALAUREATE CERTIFICATE , MASTER'S DEGREE , POST-MASTER'S CERTIFICATE , DOCTOR'S DEGREE - RESEARCH/SCHOLARSHIP , DOCTOR'S DEGREE = PROFESSIONAL PRACTICE",SUBURB,YES,11586.0,5643.0,PRIVATE NON-PROFIT,56382.0,56382.0,(617) 628-5000,16549,42.4059848570001,-71.1206501899999,www.tufts.edu,34.0,5960.0,32620.0,38605.0,70600.0,118100.0,15.0
NEW YORK UNIVERSITY,70 WASHINGTON SQ SOUTH,NEW YORK,NY,10012-1091,FOUR OR MORE YEARS,"LESS THAN ONE YEAR CERTIFICATE , ASSOCIATE'S DEGREE , BACHELOR'S DEGREE , POSTBACCALAUREATE CERTIFICATE , MASTER'S DEGREE , POST-MASTER'S CERTIFICATE , DOCTOR'S DEGREE - RESEARCH/SCHOLARSHIP , DOCTOR'S DEGREE = PROFESSIONAL PRACTICE , DOCTOR'S DEGREE - OTHER",CITY,YES,51847.0,26733.0,PRIVATE NON-PROFIT,51828.0,51828.0,(212) 998-1212,75529,40.7294691130001,-73.997300588,www.nyu.edu,35.0,30252.0,40336.0,31542.0,71790.0,117700.0,28.0
MIDDLEBURY COLLEGE,OLD CHAPEL,MIDDLEBURY,VT,05753,FOUR OR MORE YEARS,"BACHELOR'S DEGREE , MASTER'S DEGREE , DOCTOR'S DEGREE - RESEARCH/SCHOLARSHIP",TOWN,YES,2611.0,2564.0,PRIVATE NON-PROFIT,54450.0,54450.0,(802) 443-5000,3869,44.0091582060001,-73.176069465,www.middlebury.edu,36.0,2591.0,26075.0,43491.0,69464.0,109800.0,17.0
CARNEGIE MELLON UNIVERSITY,5000 FORBES AVENUE,PITTSBURGH,PA,15213-3890,FOUR OR MORE YEARS,"BACHELOR'S DEGREE , POSTBACCALAUREATE CERTIFICATE , MASTER'S DEGREE , POST-MASTER'S CERTIFICATE , DOCTOR'S DEGREE - RESEARCH/SCHOLARSHIP",CITY,YES,14029.0,6589.0,PRIVATE NON-PROFIT,55465.0,55465.0,(412) 268-2000,19959,40.4436391150001,-79.9435130689999,www.cmu.edu/,37.0,6941.0,31102.0,38163.0,70094.0,136100.0,22.0
BATES COLLEGE,2 ANDREWS ROAD,LEWISTON,ME,04240,FOUR OR MORE YEARS,BACHELOR'S DEGREE,CITY,YES,1832.0,1832.0,PRIVATE NON-PROFIT,53794.0,53794.0,(207) 786-6000,2676,44.1052718190001,-70.2032951739999,www.bates.edu/,39.0,1787.0,25192.0,43238.0,68870.0,111900.0,22.0
WESLEYAN UNIVERSITY,45 WYLLYS AVENUE,MIDDLETOWN,CT,06459,FOUR OR MORE YEARS,"BACHELOR'S DEGREE , POSTBACCALAUREATE CERTIFICATE , MASTER'S DEGREE , DOCTOR'S DEGREE - RESEARCH/SCHOLARSHIP",CITY,YES,3217.0,3009.0,PRIVATE NON-PROFIT,54944.0,54944.0,(860) 685-2000,4236,41.556773971999995,-72.65680150600001,www.wesleyan.edu,40.0,3123.0,29956.0,43276.0,69935.0,117000.0,16.0
BOSTON COLLEGE,140 COMMONWEALTH AVENUE,CHESTNUT HILL,MA,02467,FOUR OR MORE YEARS,"LESS THAN ONE YEAR CERTIFICATE , BACHELOR'S DEGREE , POSTBACCALAUREATE CERTIFICATE , MASTER'S DEGREE , POST-MASTER'S CERTIFICATE , DOCTOR'S DEGREE - RESEARCH/SCHOLARSHIP , DOCTOR'S DEGREE = PROFESSIONAL PRACTICE",CITY,YES,14720.0,9927.0,PRIVATE NON-PROFIT,55464.0,55464.0,(617) 552-8000,18898,42.336216146,-71.169211252,www.bc.edu,41.0,10304.0,34550.0,40716.0,70588.0,115400.0,32.0
WASHINGTON AND LEE UNIVERSITY,204 WEST WASHINGTON STREET,LEXINGTON,VA,24450-2116,FOUR OR MORE YEARS,"BACHELOR'S DEGREE , DOCTOR'S DEGREE = PROFESSIONAL PRACTICE",TOWN,YES,2223.0,1829.0,PRIVATE NON-PROFIT,52455.0,52455.0,(540) 458-8400,3197,37.789011818000105,-79.44284555,www.wlu.edu/,42.0,1855.0,24761.0,39671.0,65950.0,123200.0,22.0
UNITED STATES AIR FORCE ACADEMY,"2304 CADET DRIVE, SUITE 3800",USAF ACADEMY,CO,80840-5002,FOUR OR MORE YEARS,BACHELOR'S DEGREE,TOWN,YES,4336.0,4336.0,PUBLIC,NAN,NAN,(719) 333-1818,4657,39.008897823000005,-104.885409382,www.usafa.edu,43.0,4237.0,0.0,NAN,0.0,138100.0,12.0
WELLESLEY COLLEGE,106 CENTRAL ST,WELLESLEY,MA,02481-8203,FOUR OR MORE YEARS,BACHELOR'S DEGREE,SUBURB,YES,2534.0,2534.0,PRIVATE NON-PROFIT,53732.0,53732.0,(781) 283-1000,3751,42.293720171000096,-71.30663834099991,www.wellesley.edu,44.0,2508.0,23188.0,45777.0,69034.0,106200.0,22.0
COLGATE UNIVERSITY,13 OAK DR,HAMILTON,NY,13346-1398,FOUR OR MORE YEARS,"BACHELOR'S DEGREE , MASTER'S DEGREE",TOWN,YES,2969.0,2958.0,PRIVATE NON-PROFIT,55870.0,55870.0,(315) 228-1000,4053,42.8181304060001,-75.5351981159999,www.colgate.edu,46.0,2894.0,23310.0,45108.0,69860.0,130600.0,28.0
DAVIDSON COLLEGE,405 N. MAIN STREET,DAVIDSON,NC,28035,FOUR OR MORE YEARS,BACHELOR'S DEGREE,SUBURB,YES,1843.0,1843.0,PRIVATE NON-PROFIT,51447.0,51447.0,(704) 894-2000,2720,35.50001962,-80.8452171329999,www.davidson.edu/,48.0,1810.0,21206.0,36359.0,66678.0,106900.0,20.0
HAVERFORD COLLEGE,370  LANCASTER AVE,HAVERFORD,PA,19041-1392,FOUR OR MORE YEARS,BACHELOR'S DEGREE,SUBURB,YES,1310.0,1310.0,PRIVATE NON-PROFIT,54838.0,54838.0,(610) 896-1000,1972,40.0073347900001,-75.3051055019999,https://www.haverford.edu,49.0,1296.0,26607.0,45805.0,71614.0,112300.0,20.0
BARNARD COLLEGE,3009 BROADWAY,NEW YORK,NY,10027-6598,FOUR OR MORE YEARS,BACHELOR'S DEGREE,CITY,YES,2562.0,2562.0,PRIVATE NON-PROFIT,55032.0,55032.0,(212) 854-5262,3499,40.809117713,-73.964052399,www.barnard.edu,50.0,2544.0,25007.0,44776.0,71282.0,109800.0,15.0
SANTA CLARA UNIVERSITY,500 EL CAMINO REAL,SANTA CLARA,CA,95053,FOUR OR MORE YEARS,"BACHELOR'S DEGREE , POSTBACCALAUREATE CERTIFICATE , MASTER'S DEGREE , DOCTOR'S DEGREE - RESEARCH/SCHOLARSHIP , DOCTOR'S DEGREE = PROFESSIONAL PRACTICE",CITY,YES,8642.0,5520.0,PRIVATE NON-PROFIT,51711.0,51711.0,(408) 554-4000,10520,37.349344752,-121.93828111200001,www.scu.edu,51.0,5754.0,33738.0,26671.0,69439.0,134700.0,54.0
CARLETON COLLEGE,ONE NORTH COLLEGE STREET,NORTHFIELD,MN,55057-4001,FOUR OR MORE YEARS,BACHELOR'S DEGREE,TOWN,YES,2097.0,2097.0,PRIVATE NON-PROFIT,54759.0,54759.0,(507) 222-4000,2905,44.462296993000095,-93.154661975,www.carleton.edu,52.0,2078.0,27898.0,38342.0,68835.0,109900.0,21.0
UNITED STATES COAST GUARD ACADEMY,15 MOHEGAN AVENUE,NEW LONDON,CT,06320-4195,FOUR OR MORE YEARS,BACHELOR'S DEGREE,CITY,YES,1071.0,1071.0,PUBLIC,NAN,NAN,(860) 444-8444,1571,41.370284383000104,-72.098802603,https://www.uscga.edu,53.0,896.0,0.0,NAN,0.0,118100.0,15.0
PITZER COLLEGE,1050 NORTH MILLS AVENUE,CLAREMONT,CA,91711-6101,FOUR OR MORE YEARS,BACHELOR'S DEGREE,SUBURB,YES,1072.0,1072.0,PRIVATE NON-PROFIT,54056.0,54056.0,(909) 621-8000,1431,34.104114629,-117.706665839,https://www.pitzer.edu,54.0,1074.0,28423.0,41257.0,70500.0,96600.0,16.0
EMORY UNIVERSITY,"408 ADMINISTRATION BUILDING, 201 DOWMAN DRIVE",ATLANTA,GA,30322,FOUR OR MORE YEARS,"BACHELOR'S DEGREE , POSTBACCALAUREATE CERTIFICATE , MASTER'S DEGREE , POST-MASTER'S CERTIFICATE , DOCTOR'S DEGREE - RESEARCH/SCHOLARSHIP , DOCTOR'S DEGREE = PROFESSIONAL PRACTICE",CITY,YES,14458.0,7086.0,PRIVATE NON-PROFIT,51306.0,51306.0,(404) 727-6123,26638,33.7932769230001,-84.3257891499999,www.emory.edu,55.0,7859.0,26760.0,38213.0,66950.0,110800.0,22.0
WAKE FOREST UNIVERSITY,1834 WAKE FOREST ROAD,WINSTON-SALEM,NC,27106,FOUR OR MORE YEARS,"BACHELOR'S DEGREE , POSTBACCALAUREATE CERTIFICATE , MASTER'S DEGREE , DOCTOR'S DEGREE - RESEARCH/SCHOLARSHIP , DOCTOR'S DEGREE = PROFESSIONAL PRACTICE",CITY,YES,8401.0,5225.0,PRIVATE NON-PROFIT,53322.0,53322.0,(336) 758-5000,15532,36.1320538840001,-80.277919405,www.wfu.edu,56.0,5068.0,33382.0,42495.0,69130.0,114800.0,28.0
LAFAYETTE COLLEGE,HIGH ST,EASTON,PA,18042-1768,FOUR OR MORE YEARS,BACHELOR'S DEGREE,SUBURB,YES,2642.0,2642.0,PRIVATE NON-PROFIT,53630.0,53630.0,(610) 330-5000,3609,40.6995313830001,-75.211351241,https://www.lafayette.edu/,57.0,2569.0,30820.0,39957.0,68640.0,122500.0,31.0
HAMILTON COLLEGE,198 COLLEGE HILL RD,CLINTON,NY,13323,FOUR OR MORE YEARS,BACHELOR'S DEGREE,SUBURB,YES,2005.0,2005.0,PRIVATE NON-PROFIT,54620.0,54620.0,(315) 859-4011,2809,43.05427895,-75.4079768349999,www.hamilton.edu,59.0,1901.0,24140.0,43611.0,67670.0,108100.0,24.0
SCRIPPS COLLEGE,1030 NORTH COLUMBIA AVENUE,CLAREMONT,CA,91711-3905,FOUR OR MORE YEARS,"BACHELOR'S DEGREE , POSTBACCALAUREATE CERTIFICATE",SUBURB,YES,1071.0,1052.0,PRIVATE NON-PROFIT,55024.0,55024.0,(909) 621-8000,1434,34.1045920460001,-117.709632587,www.scrippscollege.edu,60.0,1083.0,30974.0,31633.0,71060.0,98600.0,33.0
VASSAR COLLEGE,124 RAYMOND AVE,POUGHKEEPSIE,NY,12604,FOUR OR MORE YEARS,"BACHELOR'S DEGREE , MASTER'S DEGREE",SUBURB,YES,2456.0,2456.0,PRIVATE NON-PROFIT,56960.0,56960.0,(845) 437-7000,3602,41.685956655,-73.897533171,www.vassar.edu,61.0,2353.0,23687.0,44517.0,70370.0,100100.0,24.0
BABSON COLLEGE,231 FOREST STREET,BABSON PARK,MA,02457-0310,FOUR OR MORE YEARS,"BACHELOR'S DEGREE , POSTBACCALAUREATE CERTIFICATE , MASTER'S DEGREE",SUBURB,YES,3357.0,2361.0,PRIVATE NON-PROFIT,51104.0,51104.0,(781) 235-1200,4304,42.2965727860001,-71.269482286,www.babson.edu,62.0,2354.0,35540.0,36717.0,68432.0,133800.0,24.0
UNITED STATES MERCHANT MARINE ACADEMY,300 STEAMBOAT ROAD,KINGS POINT,NY,11024-1634,FOUR OR MORE YEARS,"BACHELOR'S DEGREE , MASTER'S DEGREE",SUBURB,YES,1015.0,996.0,PUBLIC,1080.0,1080.0,(516) 726-5800,1287,40.812132299999995,-73.762579187,https://www.usmma.edu,66.0,912.0,6758.0,3597.0,8646.0,140700.0,22.0
LEHIGH UNIVERSITY,27 MEMORIAL DRIVE WEST,BETHLEHEM,PA,18015,FOUR OR MORE YEARS,"BACHELOR'S DEGREE , POSTBACCALAUREATE CERTIFICATE , MASTER'S DEGREE , DOCTOR'S DEGREE - RESEARCH/SCHOLARSHIP",CITY,YES,6849.0,5047.0,PRIVATE NON-PROFIT,52930.0,52930.0,(610) 758-3000,8760,40.606645912,-75.37713849100001,www.lehigh.edu,67.0,5337.0,34212.0,36014.0,65925.0,134100.0,25.0
UNIVERSITY OF FLORIDA,TIGERT HALL,GAINESVILLE,FL,32611,FOUR OR MORE YEARS,"LESS THAN ONE YEAR CERTIFICATE , ONE BUT LESS THAN TWO YEARS CERTIFICATE , ASSOCIATE'S DEGREE , BACHELOR'S DEGREE , POSTBACCALAUREATE CERTIFICATE , MASTER'S DEGREE , POST-MASTER'S CERTIFICATE , DOCTOR'S DEGREE - RESEARCH/SCHOLARSHIP , DOCTOR'S DEGREE = PROFESSIONAL PRACTICE",CITY,YES,52218.0,35491.0,PUBLIC,6381.0,28659.0,(352) 392-3261,67666,29.6382626130001,-82.36117000899999,www.ufl.edu/,70.0,37851.0,12345.0,6636.0,43409.0,102800.0,42.0
